Country,Region,Year,Crop_Type,Crop_Yield_Tonnes_per_Ha,Avg_Temperature_C,Annual_Rainfall_mm,Severe_Drought,Fertilizer_Usage_kg_ha,Pesticide_Usage_kg_ha,Food_Insecurity_Index
Nigeria,Sub-Saharan Africa,2025,Wheat,6.13,26.91,806.7,No,110.4,2.79,62.4
Uganda,Sub-Saharan Africa,2000,Potatoes,23.07,25.48,906.9,No,56.0,1.27,58.4
United States,North America,2016,Soybeans,2.82,18.28,843.8,Yes,84.9,2.37,49.2
Kenya,Sub-Saharan Africa,2025,Potatoes,22.92,27.46,529.0,No,75.5,1.57,67.2
Australia,Oceania,2022,Wheat,6.4,19.12,1284.5,No,167.4,2.04,23.2
France,Europe,2025,Cassava,14.61,11.71,611.1,No,65.4,1.01,26.1
Brazil,South America,2001,Wheat,8.58,22.92,867.7,No,311.9,3.48,23.4
Uganda,Sub-Saharan Africa,2024,Soybeans,4.47,25.56,748.0,No,74.4,2.18,46.3
India,South Asia,2008,Cassava,16.18,24.62,886.9,No,112.1,2.24,41.6
Australia,Oceania,2011,Soybeans,6.58,22.89,1474.4,No,224.8,3.8,11.9
Kenya,Sub-Saharan Africa,2023,Wheat,5.87,26.86,1369.2,No,105.7,1.04,55.9
Pakistan,South Asia,2012,Soybeans,4.97,22.1,753.2,No,118.7,1.23,45.9
United States,North America,2002,Cassava,15.86,10.39,536.9,No,74.3,4.71,23.1
China,East Asia,2013,Cassava,13.5,26.45,775.3,No,42.2,6.14,23.1
Uganda,Sub-Saharan Africa,2008,Cassava,14.87,24.77,559.3,No,50.3,4.1,60.4
Ukraine,Europe,2012,Wheat,7.16,12.51,852.2,No,203.3,2.54,19.5
Mexico,North America,2023,Cassava,15.82,13.79,691.0,No,82.4,3.92,21.1
Sudan,Sub-Saharan Africa,2004,Maize (Corn),7.3,27.68,580.8,No,107.4,4.95,68.6
Bangladesh,South Asia,2016,Maize (Corn),7.72,24.05,770.2,No,122.7,2.69,40.4
Uganda,Sub-Saharan Africa,2016,Rice,7.8,26.45,791.6,No,238.8,0.48,57.5
Bangladesh,South Asia,2005,Cassava,16.32,24.05,1003.9,No,126.7,2.96,48.5
France,Europe,2015,Soybeans,4.92,15.02,798.2,No,97.7,5.05,17.9
United States,North America,2022,Potatoes,23.51,13.24,579.6,No,35.9,2.55,23.1
Sudan,Sub-Saharan Africa,2013,Maize (Corn),7.16,26.9,842.8,No,86.6,4.3,60.5
Mexico,North America,2021,Potatoes,23.0,15.67,1390.4,No,57.4,5.42,24.7
Pakistan,South Asia,2001,Wheat,6.08,24.23,1300.3,No,78.0,10.13,33.0
Uganda,Sub-Saharan Africa,2005,Wheat,3.74,29.36,1089.6,No,49.1,1.23,62.7
Thailand,Southeast Asia,2015,Cassava,16.03,22.44,1585.9,No,100.0,3.2,18.5
Canada,North America,2024,Rice,5.64,14.11,892.9,No,77.8,2.6,28.6
Thailand,Southeast Asia,2017,Soybeans,5.23,20.89,1865.7,No,148.1,5.51,22.2
Ethiopia,Sub-Saharan Africa,2014,Soybeans,3.93,26.9,877.4,No,102.1,1.0,54.1
Uganda,Sub-Saharan Africa,2004,Rice,7.41,29.66,546.0,No,251.3,0.95,44.8
Argentina,South America,2025,Rice,5.44,23.57,1479.8,No,70.5,0.89,20.4
Canada,North America,2007,Maize (Corn),6.61,13.17,1062.0,No,69.8,3.22,22.3
Thailand,Southeast Asia,2007,Rice,5.19,25.27,1603.6,No,102.9,1.28,24.0
Argentina,South America,2003,Wheat,7.15,23.04,890.9,No,192.6,0.9,16.0
Mexico,North America,2008,Maize (Corn),7.3,14.92,728.6,No,131.2,1.65,28.3
Tanzania,Sub-Saharan Africa,2007,Rice,5.81,26.32,1046.9,No,96.5,2.63,57.9
Ukraine,Europe,2019,Maize (Corn),6.88,15.38,785.4,No,66.1,1.68,35.1
Kenya,Sub-Saharan Africa,2006,Soybeans,4.12,23.81,965.6,No,58.4,0.91,60.1
Australia,Oceania,2013,Potatoes,23.42,21.02,796.3,No,60.4,2.6,21.9
Indonesia,Southeast Asia,2001,Rice,5.76,22.61,1228.0,No,45.7,9.7,26.8
Egypt,Middle East & North Africa,2001,Cassava,15.47,23.23,813.0,No,75.9,2.61,49.3
Nigeria,Sub-Saharan Africa,2000,Maize (Corn),7.76,24.88,826.3,No,156.8,1.19,60.7
South Africa,Sub-Saharan Africa,2009,Maize (Corn),6.82,25.56,1377.7,No,72.9,4.88,53.6
Uganda,Sub-Saharan Africa,2002,Maize (Corn),7.76,28.03,1079.8,No,108.4,4.39,54.4
France,Europe,2003,Maize (Corn),8.95,9.1,975.1,No,168.3,8.59,11.3
Mexico,North America,2007,Soybeans,3.98,16.63,926.5,Yes,139.4,5.24,30.8
Nigeria,Sub-Saharan Africa,2007,Maize (Corn),7.61,26.31,507.9,No,96.2,1.92,50.6
Kenya,Sub-Saharan Africa,2023,Wheat,4.58,22.71,733.1,No,25.9,2.62,63.7
Kenya,Sub-Saharan Africa,2009,Rice,4.53,29.61,731.7,Yes,191.0,4.36,86.2
Tanzania,Sub-Saharan Africa,2000,Soybeans,4.35,26.96,840.9,No,76.8,4.93,67.6
Sudan,Sub-Saharan Africa,2019,Soybeans,4.93,27.51,471.7,No,121.1,2.51,52.2
Bangladesh,South Asia,2017,Wheat,6.05,20.38,1117.5,No,103.5,8.97,39.4
Canada,North America,2017,Wheat,4.91,14.18,879.1,No,49.6,5.32,17.0
Australia,Oceania,2015,Cassava,14.92,22.08,1328.9,No,52.3,5.2,28.6
Uganda,Sub-Saharan Africa,2024,Soybeans,4.33,25.85,1354.3,No,75.5,1.46,43.7
France,Europe,2005,Cassava,16.95,13.8,677.8,No,155.1,3.72,24.7
Argentina,South America,2003,Rice,5.27,22.35,1149.1,No,45.8,6.79,25.9
Nigeria,Sub-Saharan Africa,2007,Maize (Corn),7.81,27.72,933.1,No,122.8,5.33,57.7
Germany,Europe,2016,Wheat,5.88,11.75,528.2,No,99.9,4.36,16.1
Canada,North America,2021,Rice,5.52,17.32,1077.6,No,91.8,2.97,17.7
Uganda,Sub-Saharan Africa,2005,Wheat,5.84,26.59,925.7,No,91.4,7.52,53.5
Kenya,Sub-Saharan Africa,2011,Soybeans,5.07,25.63,1047.8,No,102.5,6.08,46.2
Bangladesh,South Asia,2017,Wheat,5.74,19.61,1014.4,No,105.2,6.68,32.2
China,East Asia,2006,Wheat,5.45,21.37,979.5,No,112.3,0.38,22.1
Canada,North America,2003,Rice,5.26,13.84,1360.9,No,107.8,3.21,17.7
United States,North America,2018,Rice,4.92,10.15,1462.8,No,78.7,1.56,29.2
Germany,Europe,2013,Soybeans,5.57,15.49,1011.4,No,192.2,2.47,19.8
Egypt,Middle East & North Africa,2003,Wheat,5.71,23.84,575.8,No,78.0,3.75,39.4
Australia,Oceania,2018,Soybeans,5.16,23.5,864.2,No,112.4,5.18,26.1
Indonesia,Southeast Asia,2020,Soybeans,4.8,20.7,1557.3,No,78.5,2.11,21.1
Kenya,Sub-Saharan Africa,2018,Rice,6.11,26.22,821.5,No,117.7,4.53,51.2
Kenya,Sub-Saharan Africa,2009,Maize (Corn),6.46,24.28,1050.0,No,90.3,0.42,60.2
Sudan,Sub-Saharan Africa,2009,Soybeans,3.95,27.74,1460.3,No,57.3,5.79,50.4
Brazil,South America,2006,Potatoes,23.83,21.15,1390.9,No,105.3,4.44,32.1
Kenya,Sub-Saharan Africa,2004,Soybeans,4.03,29.07,655.1,No,66.4,3.51,61.2
India,South Asia,2017,Cassava,15.15,23.47,773.3,No,56.1,4.09,42.1
Sudan,Sub-Saharan Africa,2016,Potatoes,23.1,26.86,1417.3,No,65.6,1.48,60.3
Bangladesh,South Asia,2025,Cassava,16.71,23.24,1024.0,No,167.3,2.85,44.0
United States,North America,2014,Maize (Corn),7.52,13.03,431.3,Yes,259.5,0.35,39.3
Australia,Oceania,2013,Potatoes,24.11,20.58,993.9,No,108.7,5.21,29.8
Nigeria,Sub-Saharan Africa,2018,Cassava,15.91,26.26,996.5,No,119.7,5.65,63.7
South Africa,Sub-Saharan Africa,2006,Cassava,14.81,23.68,705.8,No,54.4,2.89,62.0
Argentina,South America,2018,Rice,5.66,23.95,1113.0,No,73.1,3.21,24.4
China,East Asia,2010,Potatoes,23.75,22.1,839.3,No,73.1,3.89,21.8
Brazil,South America,2007,Rice,5.47,21.7,1059.4,No,94.3,1.49,26.0
Mexico,North America,2016,Potatoes,20.0,17.08,1077.1,No,56.7,3.34,32.9
Brazil,South America,2000,Potatoes,23.61,20.01,1009.4,No,106.1,0.99,20.2
Thailand,Southeast Asia,2010,Soybeans,4.18,21.76,1515.1,No,82.0,2.36,25.4
Bangladesh,South Asia,2022,Soybeans,5.93,20.1,1083.4,No,175.8,6.23,41.2
India,South Asia,2015,Cassava,15.23,20.96,798.2,No,66.5,1.94,41.7
Argentina,South America,2002,Cassava,16.73,20.89,565.3,No,175.9,2.28,18.9
Tanzania,Sub-Saharan Africa,2003,Potatoes,25.5,27.87,621.8,No,213.6,5.47,53.4
Ukraine,Europe,2006,Wheat,5.99,15.9,1204.7,No,107.1,2.38,22.5
Canada,North America,2025,Rice,5.47,19.84,767.3,No,115.1,2.36,24.5
Mexico,North America,2009,Potatoes,13.77,17.25,859.9,Yes,180.5,0.65,46.2
Ethiopia,Sub-Saharan Africa,2017,Potatoes,22.6,25.63,976.6,No,34.4,3.3,63.8
United States,North America,2006,Potatoes,15.45,17.96,879.3,Yes,82.2,2.51,52.5
Argentina,South America,2001,Soybeans,3.49,20.43,670.6,No,58.0,2.95,25.0
Ukraine,Europe,2015,Rice,6.22,15.44,872.9,No,108.0,5.05,19.8
Turkey,Middle East & North Africa,2005,Soybeans,3.51,19.7,358.0,Yes,83.0,2.95,56.2
Ukraine,Europe,2025,Soybeans,5.11,16.45,914.6,No,103.8,3.17,19.6
Argentina,South America,2020,Cassava,15.39,21.76,1124.3,No,119.5,2.03,19.3
Vietnam,Southeast Asia,2001,Rice,5.79,19.83,1314.7,No,44.5,4.86,26.7
Brazil,South America,2015,Potatoes,24.24,23.41,1333.1,No,102.2,3.42,30.9
Brazil,South America,2017,Soybeans,3.96,22.1,1361.1,No,58.5,3.2,13.3
Uganda,Sub-Saharan Africa,2018,Potatoes,25.0,26.08,1379.8,No,179.9,3.67,54.8
Canada,North America,2024,Potatoes,23.87,12.89,746.4,No,145.5,2.03,26.4
Pakistan,South Asia,2023,Wheat,4.78,23.18,858.3,No,36.1,2.42,39.7
Pakistan,South Asia,2002,Potatoes,24.06,22.08,541.2,No,96.8,2.72,43.4
Mexico,North America,2004,Wheat,5.2,14.5,1018.2,No,80.1,3.25,28.5
Vietnam,Southeast Asia,2001,Maize (Corn),7.45,21.36,1557.3,No,103.7,3.22,17.0
Pakistan,South Asia,2017,Cassava,17.55,21.61,682.3,No,166.0,4.89,40.5
South Africa,Sub-Saharan Africa,2007,Rice,4.94,23.11,1013.6,No,56.2,3.55,56.0
Turkey,Middle East & North Africa,2007,Wheat,3.03,26.47,535.5,Yes,81.9,5.56,66.3
Argentina,South America,2014,Potatoes,23.73,24.56,791.8,No,75.3,2.43,31.4
Turkey,Middle East & North Africa,2002,Maize (Corn),7.32,20.12,497.1,No,140.1,1.75,38.5
Ethiopia,Sub-Saharan Africa,2019,Cassava,15.41,25.92,1163.7,No,78.2,1.68,54.8
Nigeria,Sub-Saharan Africa,2023,Soybeans,5.06,27.9,915.6,No,131.4,3.06,48.4
Sudan,Sub-Saharan Africa,2001,Cassava,14.82,26.02,1292.0,No,63.5,0.6,71.1
Vietnam,Southeast Asia,2012,Wheat,3.03,25.08,1218.2,Yes,65.2,2.32,59.6
Australia,Oceania,2009,Potatoes,20.79,25.65,797.4,No,120.7,1.97,30.9
Uganda,Sub-Saharan Africa,2018,Potatoes,24.25,26.07,531.3,No,108.8,4.31,66.3
India,South Asia,2000,Wheat,5.86,21.23,854.3,No,94.5,4.39,41.0
Bangladesh,South Asia,2015,Wheat,5.87,23.0,1265.6,No,94.2,4.77,37.9
Sudan,Sub-Saharan Africa,2012,Cassava,16.48,24.52,1381.3,No,134.0,3.58,49.5
Kenya,Sub-Saharan Africa,2012,Wheat,5.15,29.84,1062.3,Yes,178.9,4.57,71.0
Argentina,South America,2003,Potatoes,25.48,20.39,1172.5,No,143.1,10.13,30.1
Kenya,Sub-Saharan Africa,2007,Soybeans,5.28,24.83,813.4,No,110.6,3.86,62.5
South Africa,Sub-Saharan Africa,2012,Potatoes,24.54,23.71,707.1,No,167.3,0.94,58.8
Pakistan,South Asia,2000,Potatoes,23.79,23.49,829.6,No,52.5,4.03,32.8
Germany,Europe,2014,Soybeans,5.0,15.33,807.1,No,122.2,4.71,22.3
Ukraine,Europe,2010,Cassava,7.1,17.18,1115.1,Yes,77.3,4.16,68.7
Canada,North America,2016,Maize (Corn),4.98,17.18,1227.7,Yes,80.1,0.75,41.0
Ukraine,Europe,2006,Soybeans,3.31,14.15,1451.1,No,64.7,1.42,21.5
Ukraine,Europe,2003,Maize (Corn),7.36,15.45,1028.1,No,63.0,3.91,27.1
Thailand,Southeast Asia,2023,Potatoes,24.06,24.2,1078.3,No,123.6,3.47,24.2
Brazil,South America,2012,Cassava,16.58,22.11,942.9,No,122.9,1.95,22.8
South Africa,Sub-Saharan Africa,2003,Potatoes,23.68,24.12,1420.1,No,83.8,2.9,63.3
Canada,North America,2007,Wheat,5.42,12.78,877.6,No,115.2,1.58,20.2
Egypt,Middle East & North Africa,2001,Soybeans,4.9,23.69,664.4,No,103.5,1.15,33.6
Turkey,Middle East & North Africa,2017,Wheat,3.86,26.44,353.1,Yes,98.4,0.7,56.0
Sudan,Sub-Saharan Africa,2007,Soybeans,5.94,25.83,602.4,No,180.3,1.64,54.5
China,East Asia,2021,Potatoes,24.15,22.15,1135.0,No,112.5,2.31,22.0
United States,North America,2008,Wheat,5.67,16.2,899.6,No,91.6,3.33,15.8
Sudan,Sub-Saharan Africa,2012,Maize (Corn),4.28,29.06,485.1,Yes,112.7,2.51,81.7
India,South Asia,2023,Cassava,16.05,23.41,1347.7,No,146.1,2.82,44.5
China,East Asia,2006,Potatoes,23.64,21.95,1248.8,No,105.4,1.84,27.9
Mexico,North America,2002,Rice,7.3,16.32,1131.8,No,185.3,2.72,15.5
Thailand,Southeast Asia,2002,Potatoes,9.96,25.41,1647.7,Yes,76.9,1.45,64.6
Kenya,Sub-Saharan Africa,2023,Soybeans,4.9,27.83,774.0,No,96.9,7.76,48.0
United States,North America,2018,Potatoes,24.48,13.68,924.3,No,128.6,1.5,31.3
Australia,Oceania,2004,Maize (Corn),7.09,20.63,993.9,No,56.2,2.34,27.7
Brazil,South America,2000,Cassava,16.17,21.16,1068.2,No,121.5,2.49,31.2
Egypt,Middle East & North Africa,2013,Cassava,12.39,21.16,420.9,Yes,109.8,5.44,64.8
China,East Asia,2003,Cassava,9.69,25.74,677.7,Yes,114.9,1.5,61.2
Australia,Oceania,2002,Wheat,5.07,21.61,900.1,No,78.0,2.71,17.6
Pakistan,South Asia,2007,Cassava,16.31,22.21,904.0,No,172.1,1.53,39.4
Ukraine,Europe,2004,Cassava,15.28,12.01,521.0,No,84.3,1.94,23.8
Kenya,Sub-Saharan Africa,2025,Maize (Corn),8.19,27.73,861.3,No,120.2,9.82,51.4
Germany,Europe,2022,Wheat,5.58,14.62,1004.4,No,44.3,9.64,13.8
Bangladesh,South Asia,2004,Potatoes,23.36,23.59,1203.8,No,77.8,1.03,45.0
Germany,Europe,2016,Soybeans,3.06,16.25,996.2,No,15.7,1.88,24.6
Uganda,Sub-Saharan Africa,2017,Cassava,14.43,26.16,773.1,No,25.8,1.62,64.4
Uganda,Sub-Saharan Africa,2003,Maize (Corn),6.68,25.26,900.7,No,76.9,2.76,59.3
Tanzania,Sub-Saharan Africa,2000,Cassava,16.14,25.71,895.0,No,96.7,2.65,58.8
South Africa,Sub-Saharan Africa,2021,Cassava,9.85,29.27,1565.4,Yes,106.0,2.51,85.8
France,Europe,2016,Rice,5.74,12.84,1254.9,No,67.6,6.11,10.8
Mexico,North America,2003,Maize (Corn),8.45,14.95,614.5,No,152.1,1.6,15.2
Egypt,Middle East & North Africa,2002,Rice,4.87,17.03,560.6,No,53.4,1.08,33.9
Nigeria,Sub-Saharan Africa,2025,Potatoes,19.98,29.8,1198.2,No,52.1,5.15,63.8
Australia,Oceania,2021,Rice,6.59,20.46,1046.5,No,124.5,3.9,15.4
Canada,North America,2021,Rice,5.87,14.62,1038.1,No,93.4,6.13,16.3
India,South Asia,2017,Maize (Corn),6.8,21.96,1041.2,No,53.7,3.71,32.2
Canada,North America,2018,Rice,6.32,17.37,928.8,No,169.7,2.04,17.9
China,East Asia,2008,Wheat,4.65,24.97,839.6,Yes,104.4,0.99,51.7
Mexico,North America,2009,Rice,7.54,13.94,850.2,No,212.3,0.47,24.1
India,South Asia,2018,Rice,6.02,23.03,1066.5,No,99.9,2.84,34.4
China,East Asia,2016,Potatoes,24.29,18.19,1145.4,No,109.6,2.15,27.4
Uganda,Sub-Saharan Africa,2012,Potatoes,23.29,26.82,1073.8,No,39.5,3.56,59.5
Tanzania,Sub-Saharan Africa,2020,Rice,5.63,27.08,1194.1,No,84.8,0.39,61.8
Sudan,Sub-Saharan Africa,2016,Potatoes,24.57,24.72,1040.1,No,106.4,5.44,57.5
Indonesia,Southeast Asia,2011,Cassava,15.02,21.41,1627.6,No,71.9,1.92,23.3
Nigeria,Sub-Saharan Africa,2023,Maize (Corn),6.52,29.09,1103.9,No,148.1,0.59,56.5
France,Europe,2018,Wheat,4.84,10.69,1209.9,No,89.0,1.61,16.4
China,East Asia,2019,Soybeans,4.09,21.27,1121.4,No,86.7,1.63,25.2
China,East Asia,2021,Rice,5.02,24.14,1002.6,No,43.4,4.59,30.2
Kenya,Sub-Saharan Africa,2001,Potatoes,23.82,26.25,942.6,No,98.5,3.21,52.7
Pakistan,South Asia,2013,Maize (Corn),7.79,23.11,1177.9,No,130.5,2.09,39.5
Kenya,Sub-Saharan Africa,2020,Cassava,15.25,24.64,1061.9,No,53.6,3.69,53.2
Australia,Oceania,2014,Potatoes,13.96,24.53,1338.4,Yes,38.2,1.55,43.0
Canada,North America,2021,Rice,4.35,16.83,1410.4,Yes,62.4,4.82,52.0
Thailand,Southeast Asia,2016,Potatoes,24.0,20.79,1456.7,No,146.3,0.59,24.6
Nigeria,Sub-Saharan Africa,2019,Wheat,5.33,29.34,1211.0,No,128.2,1.05,52.0
France,Europe,2006,Wheat,6.86,13.22,1400.4,No,196.9,8.06,17.2
Egypt,Middle East & North Africa,2007,Wheat,4.43,26.6,784.2,Yes,113.0,1.77,63.3
Australia,Oceania,2011,Wheat,7.45,24.05,1439.6,No,182.7,1.7,17.0
Nigeria,Sub-Saharan Africa,2018,Cassava,15.5,25.84,947.4,No,65.3,2.71,61.6
Pakistan,South Asia,2008,Potatoes,23.08,23.01,963.5,No,73.6,1.5,45.6
Ukraine,Europe,2011,Rice,5.42,13.42,738.4,No,77.6,0.54,22.5
Canada,North America,2018,Rice,5.08,15.88,1043.8,No,22.8,5.71,24.9
Tanzania,Sub-Saharan Africa,2020,Wheat,6.05,28.94,1471.5,No,136.7,3.35,52.8
Mexico,North America,2005,Potatoes,24.3,15.68,960.4,No,114.6,1.13,28.6
Indonesia,Southeast Asia,2024,Soybeans,3.96,21.7,1489.4,No,76.6,1.68,24.2
Egypt,Middle East & North Africa,2009,Wheat,5.53,23.43,448.0,Yes,186.8,2.32,53.3
Mexico,North America,2009,Potatoes,24.3,14.43,778.5,No,111.5,1.06,25.9
France,Europe,2009,Wheat,4.48,12.53,775.8,No,43.1,5.05,23.8
Tanzania,Sub-Saharan Africa,2002,Potatoes,24.5,26.19,836.5,No,161.4,1.6,55.3
Brazil,South America,2014,Wheat,5.57,24.34,1064.8,No,80.6,4.58,17.0
Nigeria,Sub-Saharan Africa,2019,Potatoes,10.05,30.63,1142.6,Yes,45.5,1.24,86.5
France,Europe,2021,Rice,6.04,16.13,1314.0,No,78.4,1.9,17.9
Argentina,South America,2018,Maize (Corn),9.24,23.11,1435.9,No,250.0,2.23,13.6
Canada,North America,2025,Maize (Corn),6.97,13.79,972.3,No,98.8,2.13,18.2
Thailand,Southeast Asia,2005,Maize (Corn),6.28,23.34,1754.2,No,61.3,2.23,22.6
Egypt,Middle East & North Africa,2022,Cassava,7.64,21.64,362.8,Yes,75.4,1.36,87.0
Canada,North America,2002,Maize (Corn),7.95,14.35,965.4,No,120.9,6.2,36.0
India,South Asia,2014,Maize (Corn),7.23,19.76,747.9,No,131.1,3.31,43.0
France,Europe,2023,Cassava,15.75,13.45,1330.9,No,81.8,1.6,19.1
Kenya,Sub-Saharan Africa,2020,Maize (Corn),7.65,27.19,1327.2,No,124.5,5.12,52.6
China,East Asia,2025,Wheat,3.59,28.25,860.4,Yes,99.5,2.27,34.3
Canada,North America,2000,Rice,6.62,13.15,1313.7,No,106.5,7.54,9.3
Germany,Europe,2005,Maize (Corn),7.62,14.19,990.5,No,114.4,3.36,15.6
Tanzania,Sub-Saharan Africa,2014,Soybeans,3.32,29.52,1246.9,No,29.6,3.63,60.0
Thailand,Southeast Asia,2009,Soybeans,2.96,25.47,1632.1,Yes,55.4,2.73,49.5
Bangladesh,South Asia,2012,Maize (Corn),6.19,25.62,1240.4,Yes,186.8,2.29,60.9
Argentina,South America,2022,Rice,5.26,23.81,1319.3,No,59.0,3.23,24.7
Turkey,Middle East & North Africa,2001,Cassava,15.56,24.12,553.6,No,68.6,2.24,40.0
Argentina,South America,2021,Maize (Corn),7.55,23.9,910.9,No,111.7,4.2,25.5
Thailand,Southeast Asia,2010,Maize (Corn),7.7,20.87,1575.8,No,151.0,2.14,18.6
Nigeria,Sub-Saharan Africa,2009,Cassava,15.63,27.06,1350.2,No,125.4,0.9,62.7
Indonesia,Southeast Asia,2008,Wheat,7.09,22.51,1332.2,No,179.2,0.26,15.2
Bangladesh,South Asia,2011,Potatoes,23.59,20.51,1070.2,No,95.2,3.26,44.5
Kenya,Sub-Saharan Africa,2014,Soybeans,5.87,24.05,792.3,No,185.9,0.56,48.5
Indonesia,Southeast Asia,2007,Maize (Corn),7.65,20.61,1819.9,No,106.0,2.19,25.1
Egypt,Middle East & North Africa,2007,Maize (Corn),6.09,22.21,618.5,No,48.1,2.49,41.5
Argentina,South America,2012,Soybeans,4.17,22.99,1032.8,No,72.3,3.3,19.8
France,Europe,2019,Rice,7.21,15.87,781.6,No,167.7,4.5,13.1
United States,North America,2023,Cassava,13.21,18.08,910.2,No,53.3,3.73,23.8
Mexico,North America,2014,Wheat,5.38,15.0,639.4,No,124.1,1.26,31.4
India,South Asia,2003,Cassava,15.68,20.73,894.1,No,71.0,3.23,47.4
Mexico,North America,2003,Maize (Corn),6.48,13.07,508.2,No,26.8,8.89,30.1
Bangladesh,South Asia,2025,Maize (Corn),8.71,25.48,1000.2,No,211.4,6.0,42.9
Tanzania,Sub-Saharan Africa,2004,Cassava,14.8,27.75,1473.3,No,33.2,4.6,58.2
Turkey,Middle East & North Africa,2005,Maize (Corn),6.22,22.13,665.4,No,44.4,1.22,40.5
Mexico,North America,2016,Rice,6.0,12.71,818.1,No,85.2,2.61,22.5
Canada,North America,2010,Cassava,15.87,14.42,946.7,No,117.0,1.25,22.7
Canada,North America,2018,Wheat,4.83,12.84,1146.1,No,38.3,3.65,29.2
Egypt,Middle East & North Africa,2008,Rice,5.1,21.75,251.8,Yes,134.9,0.9,62.4
Turkey,Middle East & North Africa,2007,Rice,4.02,20.91,150.0,Yes,107.4,1.33,66.6
France,Europe,2021,Cassava,15.9,14.04,885.7,No,89.2,2.11,19.1
Uganda,Sub-Saharan Africa,2005,Soybeans,4.14,25.88,998.4,No,72.9,1.24,45.5
Brazil,South America,2012,Soybeans,4.66,20.21,577.3,No,82.6,6.03,19.1
India,South Asia,2001,Cassava,14.9,20.23,971.2,No,66.8,1.11,42.8
Uganda,Sub-Saharan Africa,2023,Wheat,4.74,28.26,1036.9,No,60.6,1.46,56.9
Australia,Oceania,2020,Potatoes,23.57,23.69,667.2,No,93.3,1.24,30.8
Uganda,Sub-Saharan Africa,2008,Rice,5.36,27.26,1003.2,No,51.2,0.9,59.1
Bangladesh,South Asia,2006,Potatoes,23.43,21.66,976.6,No,116.6,2.22,46.5
Turkey,Middle East & North Africa,2017,Soybeans,4.8,21.57,1088.1,No,128.4,1.09,30.9
Ukraine,Europe,2017,Soybeans,4.93,12.03,691.1,No,111.4,1.11,20.1
Brazil,South America,2008,Rice,6.1,20.91,1502.9,No,100.1,4.55,23.0
France,Europe,2009,Rice,3.11,11.42,431.1,Yes,40.3,4.5,49.9
Indonesia,Southeast Asia,2011,Wheat,4.63,20.48,2100.3,No,26.6,1.83,25.9
Kenya,Sub-Saharan Africa,2000,Maize (Corn),8.06,26.25,1065.1,No,142.4,4.0,64.1
Nigeria,Sub-Saharan Africa,2008,Rice,6.07,27.33,833.2,No,111.4,4.2,59.7
Uganda,Sub-Saharan Africa,2021,Rice,4.39,26.87,947.3,No,39.2,1.71,59.0
Ethiopia,Sub-Saharan Africa,2002,Potatoes,25.02,24.54,1117.6,No,163.8,3.93,63.9
Pakistan,South Asia,2006,Soybeans,5.55,26.55,919.2,No,196.4,3.35,37.9
United States,North America,2020,Cassava,16.1,16.48,1402.6,No,98.0,5.39,19.5
Uganda,Sub-Saharan Africa,2023,Rice,6.73,24.43,954.0,No,144.3,2.96,59.6
India,South Asia,2013,Soybeans,5.32,22.49,544.5,No,124.7,2.46,35.6
Bangladesh,South Asia,2014,Potatoes,23.87,20.81,1135.0,No,114.8,1.21,47.6
Thailand,Southeast Asia,2005,Soybeans,5.56,23.42,1398.1,No,138.7,4.41,19.3
Brazil,South America,2009,Maize (Corn),7.61,24.34,994.5,No,132.6,1.77,26.7
Egypt,Middle East & North Africa,2006,Potatoes,22.79,22.78,535.3,No,43.8,0.7,47.4
Vietnam,Southeast Asia,2004,Soybeans,4.65,21.66,1584.6,No,68.3,3.24,27.9
Tanzania,Sub-Saharan Africa,2019,Rice,5.97,29.57,1087.9,No,90.4,5.82,51.9
Sudan,Sub-Saharan Africa,2018,Maize (Corn),2.92,31.25,1395.2,Yes,31.3,2.27,91.4
France,Europe,2017,Cassava,15.37,12.59,518.8,No,67.1,3.19,23.1
India,South Asia,2005,Wheat,5.3,21.5,948.3,No,55.7,2.02,30.5
Ukraine,Europe,2017,Maize (Corn),7.28,14.62,671.6,No,107.0,1.84,20.7
Egypt,Middle East & North Africa,2021,Soybeans,6.44,23.36,693.7,No,180.7,4.81,26.3
Thailand,Southeast Asia,2015,Potatoes,24.34,22.78,1628.1,No,123.9,6.91,27.1
Indonesia,Southeast Asia,2019,Maize (Corn),6.68,24.99,1794.6,Yes,225.0,3.18,44.7
South Africa,Sub-Saharan Africa,2010,Maize (Corn),9.38,25.31,817.2,No,165.3,11.47,57.8
Pakistan,South Asia,2002,Wheat,5.4,20.36,1024.4,No,100.1,1.74,41.1
Pakistan,South Asia,2012,Rice,5.77,21.46,1078.1,No,95.2,3.15,40.9
Mexico,North America,2013,Cassava,15.82,13.24,1006.6,No,102.9,2.43,26.3
India,South Asia,2010,Maize (Corn),6.14,25.09,1068.2,No,92.9,4.12,37.8
Indonesia,Southeast Asia,2019,Maize (Corn),7.26,21.75,1337.3,No,83.5,6.72,20.4
Tanzania,Sub-Saharan Africa,2013,Wheat,5.18,25.03,1097.9,No,84.7,1.98,52.8
Canada,North America,2012,Soybeans,4.29,12.92,1123.2,No,77.6,2.25,15.2
India,South Asia,2015,Maize (Corn),2.91,25.01,944.7,Yes,62.1,0.79,86.0
Turkey,Middle East & North Africa,2017,Soybeans,3.48,23.92,752.4,No,31.9,6.0,37.6
